leading_item_id,following_item_id,value
CCLHWFWF,AHMDUILJ,125312
OJIFIHMZ,AHMDUILJ,125312
XIPPENFQ,AHMDUILJ,125312
LLHREMKS,AHMDUILJ,125312
LSOIUSXD,AHMDUILJ,125312
STZDBITS,AHMDUILJ,125312
HCDTGMST,AHMDUILJ,125312
XMKRPGLB,AHMDUILJ,130800
QKXNTIIB,AHMDUILJ,125312
WBLJNPZQ,AHMDUILJ,130800
FQCLOEXA,AHMDUILJ,130800
ROACSLMG,AHMDUILJ,130800
APQGTRMF,AHMDUILJ,130800
XUOIQPFL,APQGTRMF,31059
ZKENOUDA,APQGTRMF,33369
SDWAYPIK,APQGTRMF,31059
OXKURKXR,APQGTRMF,31059
LRVGFDFM,APQGTRMF,31059
UGEQLMXM,APQGTRMF,31059
ATLDMDBO,APQGTRMF,31059
VBYCLTYZ,APQGTRMF,31059
JPBRUTWP,APQGTRMF,31059
JBVHSUWY,APQGTRMF,31059
OKMBFVKS,APQGTRMF,31059
LTOYKIML,APQGTRMF,33369
ELQGMQWE,APQGTRMF,33369
DNMPSKTB,APQGTRMF,31059
ROACSLMG,APQGTRMF,31059
QRKRBYJL,APQGTRMF,31059
BTMOEMEP,APQGTRMF,31059
QJQJSWFU,APQGTRMF,31059
RCBZUSIM,APQGTRMF,31059
FQCLOEXA,APQGTRMF,33369
RJGPVEXX,APQGTRMF,33369
AHMDUILJ,APQGTRMF,31059
NZKBIBNU,APQGTRMF,33369
QVLMOEYE,APQGTRMF,31059
VUAFAIYJ,APQGTRMF,33369
DEWLVASR,APQGTRMF,33369
GYHKIVQT,APQGTRMF,31059
WBLJNPZQ,APQGTRMF,31059
BEZYMBBT,APQGTRMF,31059
VMAQSTJE,APQGTRMF,31059
VBYCLTYZ,ATLDMDBO,34159979
BTMOEMEP,ATLDMDBO,34159979
DNMPSKTB,ATLDMDBO,34159979
SDWAYPIK,ATLDMDBO,34159979
QRKRBYJL,ATLDMDBO,34159979
QVLMOEYE,ATLDMDBO,34159979
UGEQLMXM,ATLDMDBO,34159979
OXKURKXR,ATLDMDBO,34159979
APQGTRMF,ATLDMDBO,34159979
EVBVXETX,ATLDMDBO,34159979
LRVGFDFM,ATLDMDBO,34159979
JPBRUTWP,ATLDMDBO,34159979
VUAFAIYJ,ATLDMDBO,34180133
XUOIQPFL,ATLDMDBO,34159979
FRHNWLNI,ATLDMDBO,34159979
WBLJNPZQ,ATLDMDBO,34159979
UXSPKBJR,ATLDMDBO,34159979
RCBZUSIM,ATLDMDBO,34159979
QJQJSWFU,ATLDMDBO,34159979
DBWLZWNK,ATLDMDBO,34159979
OKMBFVKS,ATLDMDBO,34159979
AHMDUILJ,ATLDMDBO,34159979
UIFPPCLR,ATLDMDBO,34159979
ROACSLMG,ATLDMDBO,34159979
ZCELVYQU,ATLDMDBO,34159979
ZGJXVMNI,ATLDMDBO,34180133
BEZYMBBT,ATLDMDBO,34159979
HCDTGMST,ATLDMDBO,34180133
SAHWCZNH,ATLDMDBO,34180133
AXULOHBQ,ATLDMDBO,34180133
QVLMOEYE,AXULOHBQ,42282
ATLDMDBO,AXULOHBQ,42282
RCBZUSIM,AXULOHBQ,42282
QRKRBYJL,AXULOHBQ,42282
DNMPSKTB,AXULOHBQ,42282
XUOIQPFL,AXULOHBQ,42282
GYHKIVQT,AXULOHBQ,42282
DBWLZWNK,AXULOHBQ,42282
HXYSSRXE,AXULOHBQ,42282
RAWUKQMJ,AXULOHBQ,42282
VBYCLTYZ,AXULOHBQ,42282
SDWAYPIK,AXULOHBQ,42282
IGDVVKUD,AXULOHBQ,42282
UXSPKBJR,AXULOHBQ,42282
UGEQLMXM,AXULOHBQ,42282
JPBRUTWP,AXULOHBQ,42282
WBLJNPZQ,AXULOHBQ,42282
OKMBFVKS,AXULOHBQ,42282
LRVGFDFM,AXULOHBQ,42282
BTMOEMEP,AXULOHBQ,42282
APQGTRMF,AXULOHBQ,42282
FRHNWLNI,AXULOHBQ,42282
OXKURKXR,AXULOHBQ,42282
UIFPPCLR,AXULOHBQ,42282
LUENUFGA,AXULOHBQ,46677
SAHWCZNH,AXULOHBQ,46677
XIFHSOWQ,AXULOHBQ,46677
YSYHGLQK,AXULOHBQ,43835
HCDTGMST,AXULOHBQ,42412
ZKENOUDA,AXULOHBQ,46677
SDWAYPIK,BEZYMBBT,3621010
DEWLVASR,BEZYMBBT,3625612
GYHKIVQT,BEZYMBBT,3621010
OXKURKXR,BEZYMBBT,3621010
OKMBFVKS,BEZYMBBT,3621010
ZKENOUDA,BEZYMBBT,3625612
QVLMOEYE,BEZYMBBT,3621010
QRKRBYJL,BEZYMBBT,3621010
FTSVTTSR,BEZYMBBT,3625612
UIFPPCLR,BEZYMBBT,3621010
XUOIQPFL,BEZYMBBT,3621010
VMAQSTJE,BEZYMBBT,3621010
JPBRUTWP,BEZYMBBT,3621010
ATLDMDBO,BEZYMBBT,3621010
APQGTRMF,BEZYMBBT,3621010
VBYCLTYZ,BEZYMBBT,3621010
RJGPVEXX,BEZYMBBT,3625612
NZKBIBNU,BEZYMBBT,3625612
UGEQLMXM,BEZYMBBT,3621010
WBLJNPZQ,BEZYMBBT,3621141
ZXERAXWP,BEZYMBBT,3625612
DNMPSKTB,BEZYMBBT,3621010
XIFHSOWQ,BEZYMBBT,3621010
LLHREMKS,BEZYMBBT,3625612
WPQXWHYO,BEZYMBBT,3625612
BTMOEMEP,BEZYMBBT,3621010
ZGJXVMNI,BEZYMBBT,3625612
RCBZUSIM,BJALXPFS,110018
WBLJNPZQ,BJALXPFS,110018
QVLMOEYE,BJALXPFS,110018
SAAYMURU,BJALXPFS,110018
AXULOHBQ,BJALXPFS,110018
QRKRBYJL,BJALXPFS,110018
VBYCLTYZ,BJALXPFS,110018
HXYSSRXE,BJALXPFS,110018
DBWLZWNK,BJALXPFS,110018
ATLDMDBO,BJALXPFS,110018
UXSPKBJR,BJALXPFS,110018
UGEQLMXM,BJALXPFS,110018
LRVGFDFM,BJALXPFS,110018
OKMBFVKS,BJALXPFS,110018
LLHREMKS,BJALXPFS,110018
EVBVXETX,BJALXPFS,110018
APQGTRMF,BJALXPFS,110018
XUOIQPFL,BJALXPFS,110018
RAWUKQMJ,BJALXPFS,110018
SAHWCZNH,BJALXPFS,114429
OXKURKXR,BJALXPFS,110018
KJNSOAHR,BJALXPFS,110018
SDWAYPIK,BJALXPFS,110018
DNMPSKTB,BJALXPFS,110018
AXULOHBQ,BSRMSVTC,548797
VBYCLTYZ,BSRMSVTC,548797
RCBZUSIM,BSRMSVTC,548797
QVLMOEYE,BSRMSVTC,548797
BUZIIBYG,BSRMSVTC,548797
GKQIJYDH,BSRMSVTC,548797
OKMBFVKS,BSRMSVTC,548797
IGDVVKUD,BSRMSVTC,548797
QRKRBYJL,BSRMSVTC,548797
JPBRUTWP,BSRMSVTC,548797
ROACSLMG,BSRMSVTC,548797
FQCLOEXA,BSRMSVTC,561690
GYHKIVQT,BSRMSVTC,548797
LSOIUSXD,BSRMSVTC,548797
SNHYOVBM,BSRMSVTC,548797
ZCELVYQU,BSRMSVTC,548797
FCYBOAXC,BSRMSVTC,548797
LPHPPJUG,BSRMSVTC,561690
APQGTRMF,BSRMSVTC,548797
RAWUKQMJ,BSRMSVTC,548797
FDXPMYGF,BSRMSVTC,548797
ATLDMDBO,BSRMSVTC,548797
WBLJNPZQ,BSRMSVTC,548797
EVBVXETX,BSRMSVTC,548797
LRVGFDFM,BSRMSVTC,548797
UXSPKBJR,BSRMSVTC,548797
UGEQLMXM,BTMOEMEP,10764094
QVLMOEYE,BTMOEMEP,10764094
ROACSLMG,BTMOEMEP,10764094
BUZIIBYG,BTMOEMEP,10764094
XUOIQPFL,BTMOEMEP,10764094
APQGTRMF,BTMOEMEP,10764094
SDWAYPIK,BTMOEMEP,10764094
LRVGFDFM,BTMOEMEP,10764094
JPBRUTWP,BTMOEMEP,10764094
DBWLZWNK,BTMOEMEP,10764094
UXSPKBJR,BTMOEMEP,10764094
OKMBFVKS,BTMOEMEP,10764094
EVBVXETX,BTMOEMEP,10764094
FCYBOAXC,BTMOEMEP,10764094
VBYCLTYZ,BTMOEMEP,10764094
DNMPSKTB,BTMOEMEP,10764094
BEZYMBBT,BTMOEMEP,10764094
OXKURKXR,BTMOEMEP,10764094
VMAQSTJE,BTMOEMEP,10764094
KJNSOAHR,BTMOEMEP,10764094
XIPPENFQ,BTMOEMEP,10767629
RAWUKQMJ,BTMOEMEP,10764094
ZGJXVMNI,BTMOEMEP,10769693
FRHNWLNI,BTMOEMEP,10764225
KJNSOAHR,BUZIIBYG,16607134
RCBZUSIM,BUZIIBYG,16594093
DUCMGGNW,BUZIIBYG,16607134
QJQJSWFU,BUZIIBYG,16607134
STZDBITS,BUZIIBYG,16607134
LRVGFDFM,BUZIIBYG,16607134
JSLXRQOK,BUZIIBYG,16594093
UXSPKBJR,BUZIIBYG,16607134
AHMDUILJ,BUZIIBYG,16607134
QKXNTIIB,BUZIIBYG,16594093
OXKURKXR,BUZIIBYG,16594093
BTMOEMEP,BUZIIBYG,16607134
JERHKLYW,BUZIIBYG,16607134
FCYBOAXC,BUZIIBYG,16607134
JBVHSUWY,BUZIIBYG,16607134
VWMBASNE,CCLHWFWF,16754724
WBLJNPZQ,CCLHWFWF,16754724
VUAFAIYJ,CCLHWFWF,16754724
LSOIUSXD,CCLHWFWF,16754724
OKMBFVKS,CCLHWFWF,16754724
QVLMOEYE,CCLHWFWF,16754724
LTOYKIML,CCLHWFWF,16754724
FCYBOAXC,CCLHWFWF,16754724
QKXNTIIB,CCLHWFWF,16754724
RAWUKQMJ,CCLHWFWF,16754724
JSLXRQOK,CCLHWFWF,16754724
LUENUFGA,CCLHWFWF,16754724
AHMDUILJ,CCLHWFWF,16754855
ATLDMDBO,DBWLZWNK,311883
JBVHSUWY,DBWLZWNK,311883
BEZYMBBT,DBWLZWNK,311883
CCLHWFWF,DBWLZWNK,311883
APQGTRMF,DBWLZWNK,311883
SNHYOVBM,DBWLZWNK,311883
BTMOEMEP,DBWLZWNK,311883
VWMBASNE,DBWLZWNK,311883
ZXERAXWP,DBWLZWNK,314193
OKMBFVKS,DBWLZWNK,311883
WBLJNPZQ,DBWLZWNK,311883
STZDBITS,DBWLZWNK,311883
UXSPKBJR,DBWLZWNK,311883
FTSVTTSR,DBWLZWNK,311883
UIFPPCLR,DBWLZWNK,311883
JSLXRQOK,DBWLZWNK,311883
VBYCLTYZ,DBWLZWNK,311883
RCBZUSIM,DBWLZWNK,311883
KJNSOAHR,DBWLZWNK,312013
JPBRUTWP,DBWLZWNK,311883
WPQXWHYO,DBWLZWNK,312013
OXKURKXR,DBWLZWNK,311883
AHMDUILJ,DBWLZWNK,311883
LPHPPJUG,DDEXPPXU,24266
DNMPSKTB,DDEXPPXU,24471
ELQGMQWE,DDEXPPXU,24266
FRHNWLNI,DDEXPPXU,27446
KAGJCHMR,DDEXPPXU,24266
WBLJNPZQ,DDEXPPXU,24397
SAAYMURU,DDEXPPXU,24397
ZKENOUDA,DEWLVASR,390345
ZGJXVMNI,DEWLVASR,390345
DNMPSKTB,DEWLVASR,392655
GYHKIVQT,DEWLVASR,392655
SDWAYPIK,DEWLVASR,392655
QRKRBYJL,DEWLVASR,392655
ATLDMDBO,DEWLVASR,392655
